relPosN/lon,relPosE/lat,relPosD/height,accN/hMSL,accE/hAcc,accD/vAcc,pos_type
20.83,-59.02,-128.6,59.7,73.3,88.6,relPos
20.83,-59.02,-128.6,59.7,73.3,88.6,relPos
20.83,-59.02,-128.6,59.7,73.3,88.6,relPos
20.83,-59.02,-128.6,59.7,73.3,88.6,relPos
20.83,-59.02,-128.6,59.7,73.3,88.6,relPos
20.83,-59.02,-128.6,59.7,73.3,88.6,relPos
20.83,-59.02,-128.6,59.7,73.3,88.6,relPos
20.83,-59.02,-128.6,59.7,73.3,88.6,relPos
20.83,-59.02,-128.6,59.7,73.3,88.6,relPos
20.83,-59.02,-128.6,59.7,73.3,88.6,relPos
20.83,-59.02,-128.6,59.7,73.3,88.6,relPos
20.83,-59.02,-128.6,59.7,73.3,88.6,relPos
20.83,-59.02,-128.6,59.7,73.3,88.6,relPos
20.83,-59.02,-128.6,59.7,73.3,88.6,relPos
20.83,-59.02,-128.6,59.7,73.3,88.6,relPos
20.83,-59.02,-128.6,59.7,73.3,88.6,relPos
20.83,-59.02,-128.6,59.7,73.3,88.6,relPos
